Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,96.169998,97.150002,92.349998,96.589996,84.260239,106640900
2016-02-01,95.889999,98.790001,86.500000,97.169998,85.146912,117685300
2016-03-01,98.160004,104.400002,97.580002,103.730003,90.895241,89201000
2016-04-01,103.360001,105.000000,99.870003,100.500000,88.064873,75276300
2016-05-01,100.500000,106.669998,96.199997,96.449997,84.864601,113233400
2016-06-01,96.459999,98.669998,91.750000,95.739998,84.239891,128145900
2016-07-01,95.879997,98.239998,92.160004,92.720001,81.582649,84647900
2016-08-01,92.580002,98.660004,92.250000,93.400002,82.543114,107359200
2016-09-01,93.559998,94.199997,88.099998,88.989998,78.645737,116764600
2016-10-01,88.790001,88.919998,82.550003,84.099998,74.324150,134074200
2016-11-01,84.339996,84.889999,69.300003,76.889999,68.288147,239348700
2016-12-01,76.620003,81.239998,76.110001,78.910004,70.082184,157497200
2017-01-01,79.580002,84.720001,77.029999,78.809998,69.993355,139763700
2017-02-01,78.650002,81.860001,74.050003,80.580002,71.998024,145440300
2017-03-01,81.099998,81.690002,77.570000,78.500000,70.139565,145650700
2017-04-01,78.379997,82.900002,76.559998,82.440002,73.659927,119165500
2017-05-01,82.440002,83.300003,75.690002,76.830002,69.088867,145781900
2017-06-01,76.839996,82.150002,75.459999,80.459999,72.353119,152677000
2017-07-01,80.769997,81.339996,76.480003,79.930000,71.876541,91104200
2017-08-01,79.900002,80.300003,74.589996,77.339996,69.999741,112507600
2017-09-01,77.540001,84.000000,77.300003,81.320000,73.601997,104104400
2017-10-01,81.349998,81.610001,68.010002,68.529999,62.025887,209664500
2017-11-01,68.820000,77.790001,66.449997,76.599998,69.786156,177501500
2017-12-01,75.620003,76.589996,69.519997,72.500000,66.050858,221043800
2018-01-01,73.059998,83.879997,72.870003,78.690002,71.690247,183092200
2018-02-01,78.300003,79.199997,67.309998,67.730003,62.088676,177533800
2018-03-01,67.699997,69.559998,60.139999,62.209999,57.028439,177442500
2018-04-01,62.060001,71.080002,60.450001,69.830002,64.013756,176910900
2018-05-01,69.230003,69.750000,60.320000,63.389999,58.554699,199917200
2018-06-01,63.849998,72.919998,62.660000,64.349998,59.441467,195743300
2018-07-01,63.939999,70.339996,63.709999,64.860001,59.912567,135350200
2018-08-01,65.000000,75.309998,63.230000,75.239998,70.028595,154750500
2018-09-01,74.980003,79.970001,72.820000,78.720001,73.267555,152916000
2018-10-01,79.050003,80.559998,69.169998,72.389999,67.376007,172422800
2018-11-01,72.739998,82.150002,72.260002,80.199997,75.160980,190282900
2018-12-01,80.199997,80.669998,62.060001,65.519997,61.403332,210945000
2019-01-01,64.860001,69.739998,63.139999,65.550003,61.431450,216609800
2019-02-01,64.500000,70.320000,57.560001,57.830002,54.609528,262074100
2019-03-01,58.150002,58.740002,51.930000,53.930000,50.926708,340702800
2019-04-01,54.160000,54.889999,51.770000,54.380001,51.351654,264898900
2019-05-01,56.849998,57.750000,51.720001,52.369999,49.927914,229170300
2019-06-01,52.540001,55.750000,52.459999,54.490002,51.949055,172384800
2019-07-01,55.099998,60.130001,54.119999,55.869999,53.264702,155573100
2019-08-01,55.799999,62.580002,53.000000,60.919998,58.599918,207466800
2019-09-01,60.439999,65.250000,59.689999,63.070000,60.668034,133868500
2019-10-01,63.200001,67.330002,60.139999,66.389999,63.861599,141771200
2019-11-01,66.860001,77.029999,66.709999,75.269997,72.951416,165836100
2019-12-01,75.220001,75.910004,72.639999,74.290001,72.001617,113459600
